Date,Day,Meal_Type,Dish_Name,Servings,Student_Count,Event_Flag,Vacation_Flag,Total_Eaters
2022-01-01,Saturday,Breakfast,Pongal,240,4109,0,0,2577
2022-01-01,Saturday,Breakfast,Akki Rotti,2430,4109,0,0,2577
2022-01-01,Saturday,Breakfast,Upma,229,4109,0,0,2577
2022-01-01,Saturday,Breakfast,Poha,234,4109,0,0,2577
2022-01-01,Saturday,Breakfast,Idli,1926,4109,0,0,2577
2022-01-01,Saturday,Breakfast,Uttapam,229,4109,0,0,2577
2022-01-01,Saturday,Breakfast,Dibba Rotti,262,4109,0,0,2577
2022-01-01,Saturday,Lunch,Jeera Aloo,1252,4109,0,0,3352
2022-01-01,Saturday,Lunch,Khoya Paneer,1005,4109,0,0,3352
2022-01-01,Saturday,Lunch,Jeera Rice,1167,4109,0,0,3352
2022-01-01,Saturday,Lunch,Jalfrezi,1207,4109,0,0,3352
2022-01-01,Saturday,Lunch,Bhindi Masala,2188,4109,0,0,3352
2022-01-01,Saturday,Lunch,Mag Dhokli,836,4109,0,0,3352
2022-01-01,Saturday,Lunch,Mishti Chholar Dal,746,4109,0,0,3352
2022-01-01,Saturday,Snacks,Kuzhakkattai,4238,4109,0,0,3101
2022-01-01,Saturday,Dinner,Olan,393,4109,0,0,3363
2022-01-01,Saturday,Dinner,Pachadi,403,4109,0,0,3363
2022-01-01,Saturday,Dinner,Veg Kolhapuri,364,4109,0,0,3363
2022-01-01,Saturday,Dinner,Rajma,6604,4109,0,0,3363
2022-01-01,Saturday,Dinner,Mixed Veg Curry,406,4109,0,0,3363
2022-01-01,Saturday,Dinner,Shukto,374,4109,0,0,3363
2022-01-02,Sunday,Breakfast,Rava Idli,212,2888,0,0,1555
2022-01-02,Sunday,Breakfast,Puri Bhaji,216,2888,0,0,1555
2022-01-02,Sunday,Breakfast,Masala Dosa,219,2888,0,0,1555
2022-01-02,Sunday,Breakfast,Idli,2795,2888,0,0,1555
2022-01-02,Sunday,Breakfast,Vegetable Sandwich,198,2888,0,0,1555
2022-01-02,Sunday,Lunch,Theeyal,414,2888,0,0,2697
2022-01-02,Sunday,Lunch,Veg Kolhapuri,424,2888,0,0,2697
2022-01-02,Sunday,Lunch,Lauki ke Kofte,2493,2888,0,0,2697
2022-01-02,Sunday,Lunch,Navrattan Korma,613,2888,0,0,2697
2022-01-02,Sunday,Lunch,Mushroom Matar,566,2888,0,0,2697
2022-01-02,Sunday,Lunch,Jeera Aloo,1016,2888,0,0,2697
2022-01-02,Sunday,Lunch,Lobiya,779,2888,0,0,2697
2022-01-02,Sunday,Lunch,Poriyal,537,2888,0,0,2697
2022-01-02,Sunday,Lunch,Kheer,858,2888,0,0,2697
2022-01-02,Sunday,Snacks,Sev Tameta,3465,2888,0,0,2181
2022-01-02,Sunday,Dinner,Dum Aloo,502,2888,0,0,1919
2022-01-02,Sunday,Dinner,Methi Saag,205,2888,0,0,1919
2022-01-02,Sunday,Dinner,Kheer,270,2888,0,0,1919
2022-01-02,Sunday,Dinner,Dalithoy,508,2888,0,0,1919
