Date,Student_Count,Event_Flag,Vacation_Flag,Breakfast,Dinner,Lunch,Snacks,Total_Daily_Servings,Cluster,PCA1,PCA2
2022-01-01,4109,0,0,5550,8544,8401,4238,26733,3,1.210074401347489,0.17930615171097758
2022-01-02,2888,0,0,3640,4708,7700,3465,19513,0,-1.1457827146431938,0.3041602097653832
2022-01-03,2914,0,0,3667,5147,6899,3253,18966,0,-1.250493347265498,0.22048415326532644
2022-01-04,3899,0,0,4804,7832,12049,4585,29270,3,1.5126017312550373,-0.1171678049327136
2022-01-05,3890,0,0,5198,6544,10231,4315,26288,3,0.9331398752785366,0.47679295519335474
2022-01-06,3969,0,0,4572,7176,10222,4008,25978,3,0.8043488663329493,0.00047885984162756765
2022-01-07,3632,0,0,6139,6654,8456,3586,24835,3,0.550171223137833,0.903307115004162
2022-01-08,3045,0,0,3052,5435,8557,3025,20069,0,-1.0974384229199674,-0.22874320252028213
2022-01-09,4139,0,0,4054,6242,12514,3621,26431,3,0.8037578227571731,-0.1135292190006455
2022-01-10,3105,0,0,3441,6333,7796,4004,21574,0,-0.5554811913456766,-0.18963870226301002
2022-01-11,3742,0,0,4709,6800,12392,3508,27409,3,0.8775568150029054,0.025007275366554064
2022-01-12,2803,0,0,4561,4534,8676,3062,20833,0,-0.9064564113963927,0.6963419912276101
2022-01-13,3846,0,0,4752,6136,7978,4631,23497,0,0.3951066892552423,0.5099009960465236
2022-01-14,3048,0,0,4796,6233,8306,3028,22363,0,-0.4393377131124848,0.3625723593213236
2022-01-15,3996,0,0,4116,8567,10516,3691,26890,3,0.9157670567602526,-0.6195017048150101
2022-01-16,3369,0,0,2979,7414,9574,3016,22983,0,-0.369826460859097,-0.8401742076698504
2022-01-17,3568,0,0,4168,8561,9883,3697,26309,3,0.6213036042866117,-0.5717528249131957
2022-01-18,2977,0,0,3491,5121,7483,3352,19447,0,-1.1409060669729518,0.12811065231257185
2022-01-19,3927,0,0,3995,8049,8191,3732,23967,0,0.3328230510920293,-0.4246749069665837
2022-01-20,2905,0,0,3163,5039,8675,2498,19375,0,-1.3751207269284074,-0.1156329138699047
2022-01-21,3636,0,0,4315,7029,7589,4709,23642,0,0.31228596483383403,0.08866412387362875
2022-01-22,3684,0,0,5274,7301,10335,4410,27320,3,1.0741949345695225,0.30470435921716915
2022-01-23,3627,0,0,3536,6427,9204,4257,23424,0,0.07573307053990566,-0.21046550773368952
2022-01-24,4027,0,0,5675,8709,11403,4272,30059,3,1.797694859093744,0.05302719520526535
2022-01-25,4135,0,0,5039,8910,12096,4684,30729,3,1.965087404415691,-0.2930378190563984
2022-01-26,2188,0,1,2353,3948,3870,1570,11741,2,-3.3731158916172608,-0.04359316828024713
2022-01-27,3668,0,0,4787,8435,11237,4733,29192,3,1.434703062169248,-0.24412164652300575
2022-01-28,2998,0,0,3826,6381,10163,3235,23605,0,-0.3198121375045195,-0.19267022603876618
2022-01-29,3554,0,0,4349,8131,7303,3816,23599,0,0.15573492592121818,-0.24474623485617916
2022-01-30,3896,1,0,4065,9986,13965,4800,32816,3,2.163956420085059,-1.1115839856093122
2022-01-31,2852,0,0,2870,6664,8592,3313,21439,0,-0.8736654935599746,-0.6293936465529557
2022-02-01,3465,0,0,4506,8382,10138,3376,26402,3,0.572546776581747,-0.40519425752758376
2022-02-02,3666,0,0,3752,7932,9138,3261,24083,0,0.11965393867591423,-0.5853057614029841
2022-02-03,3090,0,0,4082,5669,7798,3621,21170,0,-0.64168948295213,0.2554065413733018
2022-02-04,3977,1,0,6951,11008,12212,6065,36236,1,3.4238643209389252,0.09932663789486407
2022-02-05,3541,0,0,4031,8245,10233,3714,26223,3,0.5689038077293317,-0.5642296804313813
2022-02-06,4101,0,0,4361,7415,11002,5228,28006,3,1.418196523789958,-0.10919632968366595
2022-02-07,2972,0,0,3805,5753,7992,4182,21732,0,-0.5317147959068556,0.1344471809150178
2022-02-08,2973,0,0,3650,6801,7980,3714,22145,0,-0.5213180443445979,-0.2521455017070163
2022-02-09,2889,0,0,2944,6474,8458,3069,20945,0,-0.9838063645760292,-0.5543708955071172
2022-02-10,3695,0,0,4289,6271,11662,4639,26861,3,0.8791378467609804,0.0888276540105137
2022-02-11,3659,0,0,3799,7786,9400,4854,25839,3,0.703248004138222,-0.42532786984216114
2022-02-12,3991,0,0,5271,7551,10692,4984,28498,3,1.5325951094850336,0.2644915271141855
2022-02-13,3553,0,0,4453,7775,8973,3520,24721,0,0.30850762740552556,-0.19925568163094076
2022-02-14,4191,0,0,5443,8212,13302,4966,31923,3,2.2811564196509484,0.044840965464261195
2022-02-15,3725,0,0,4737,7891,9020,3454,25102,0,0.48432148536748953,-0.10493545699802981
2022-02-16,3062,0,0,3878,5022,6594,2908,18402,0,-1.3200056815820147,0.34321672922675217
2022-02-17,4664,1,0,7737,8546,14108,4565,34956,1,3.2738528018472306,0.9434584796563839
2022-02-18,3127,0,0,4661,6782,8784,3118,23345,0,-0.20989149583759498,0.137782869162848
2022-02-19,3591,0,0,4606,7376,8105,3351,23438,0,0.07253679025676281,0.00777364859964158
2022-02-20,3478,0,0,5397,7759,8300,4362,25818,3,0.7310352546841977,0.32446588759033584
2022-02-21,3727,1,0,4701,8660,12546,5071,30978,3,1.8371921378026632,-0.3804842223668931
2022-02-22,3987,1,0,5081,10855,13580,5539,35055,1,2.888876134155166,-0.8123558492931439
2022-02-23,4380,1,0,6679,8326,13397,4171,32573,1,2.5083871118227385,0.5210475707940713
2022-02-24,3941,1,0,5975,11048,11738,5103,33864,1,2.6971758820578007,-0.4024789120213036
2022-02-25,3764,0,0,5100,5700,10568,3993,25361,3,0.6140376632088776,0.6202677759983508
2022-02-26,3105,1,0,6132,9328,11409,4870,31739,3,1.8536471718281342,0.1193381063312502
2022-02-27,3411,0,0,3291,8098,9731,3480,24600,0,0.08026987662090748,-0.857222166033403
2022-02-28,4024,0,0,4665,8150,10252,3811,26878,3,1.0016458592196005,-0.23503842950282763
2022-03-01,4497,1,0,7726,9590,15908,7271,40495,1,4.684592922850108,0.7582484977517053
2022-03-02,3818,0,0,4567,6931,9722,4679,25899,3,0.825535184895736,0.13204332091630624
2022-03-03,5043,1,0,6214,12544,15697,8294,42749,1,5.422796828502244,-0.6404703680980129
2022-03-04,4074,1,0,6685,12714,10954,5294,35647,1,3.254430114268273,-0.4776378141005575
2022-03-05,4853,1,0,8301,8186,18279,6518,41284,1,4.8891098440061445,1.244021694218368
